<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/italian#sentipolc16'>sentipolc16</a>,<a href='https://euroeval.com/datasets/italian#multinerd-it'>multinerd_it</a>,<a href='https://euroeval.com/datasets/italian#scala-it'>scala_it</a>,<a href='https://euroeval.com/datasets/italian#squad-it'>squad_it</a>,sentipolc16_version,multinerd_it_version,scala_it_version,squad_it_version
<a href='https://hf.co/Qwen/Qwen1.5-14B-Chat'>Qwen/Qwen1.5-14B-Chat</a>,📝,2.66,14167290880.0,152064.0,32768.0,✗,✗,(✓),✓,42.55 ± 0.95 / 45.62 ± 0.71,52.77 ± 1.95 / 38.02 ± 2.83,28.34 ± 2.59 / 63.15 ± 1.55,68.79 ± 0.39 / 48.09 ± 1.14,15.3.1,15.3.1,15.3.1,15.3.1
<a href='https://hf.co/ibm-granite/granite-3.0-8b-instruct'>ibm-granite/granite-3.0-8b-instruct</a>,📝,2.67,8170848256.0,49155.0,4096.0,✓,✗,(✓),✗,43.46 ± 0.97 / 46.62 ± 0.51,62.95 ± 1.48 / 44.95 ± 2.15,18.76 ± 2.28 / 58.35 ± 1.79,69.69 ± 1.62 / 52.79 ± 1.81,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/google/gemma-2-9b'>google/gemma-2-9b</a>,🧠,2.67,9241705984.0,256000.0,8192.0,✓,✗,(✓),✓,58.07 ± 2.40 / 71.28 ± 2.05,41.79 ± 3.75 / 38.91 ± 2.86,22.65 ± 2.80 / 56.18 ± 3.19,70.76 ± 2.72 / 52.08 ± 2.48,15.6.1,15.6.1,15.6.1,15.6.1
<a href='https://hf.co/jhu-clsp/mmBERT-small'>jhu-clsp/mmBERT-small</a>,🔍,2.67,140642306.0,256000.0,8192.0,✓,✗,(✓),✓,35.09 ± 2.19 / 55.82 ± 1.73,83.75 ± 1.74 / 73.40 ± 1.69,30.94 ± 7.23 / 64.43 ± 3.69,39.26 ± 2.07 / 25.66 ± 1.44,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0
<a href='https://hf.co/mistralai/Mistral-7B-v0.3'>mistralai/Mistral-7B-v0.3</a>,🧠,2.68,7248023552.0,32768.0,32768.0,✓,✗,(✓),✓,51.18 ± 2.07 / 63.91 ± 2.37,59.23 ± 4.79 / 50.44 ± 3.74,13.47 ± 3.21 / 53.64 ± 2.80,69.12 ± 1.58 / 54.18 ± 1.75,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/microsoft/mdeberta-v3-base'>microsoft/mdeberta-v3-base</a>,🔍,2.68,278220290.0,251000.0,512.0,✓,✗,(✓),✓,36.31 ± 9.10 / 54.54 ± 8.71,76.67 ± 1.66 / 69.17 ± 1.02,35.92 ± 4.12 / 66.58 ± 2.49,38.43 ± 2.57 / 26.59 ± 2.02,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4o-mini'>gpt-4o-mini-2024-07-18 (zero-shot, val)</a>",📝,2.68,?,200019.0,128000.0,✓,✗,✗,✓,42.58 ± 2.62 / 45.86 ± 1.40,58.71 ± 1.74 / 34.89 ± 1.33,20.87 ± 3.36 / 51.97 ± 1.81,70.43 ± 0.92 / 42.13 ± 1.37,15.3.1,15.3.1,15.3.1,15.3.1
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B-Base'>HuggingFaceTB/SmolLM3-3B-Base</a>,🧠,2.68,3075098624.0,128256.0,65536.0,✓,✗,✗,✓,46.89 ± 2.79 / 57.14 ± 3.63,52.42 ± 3.69 / 44.00 ± 2.93,27.51 ± 2.41 / 62.12 ± 1.57,65.17 ± 3.12 / 50.03 ± 2.49,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/NousResearch/DeepHermes-3-Llama-3-8B-Preview'>NousResearch/DeepHermes-3-Llama-3-8B-Preview</a>,📝,2.68,8030261248.0,128256.0,131072.0,✓,✗,(✓),✗,42.54 ± 0.82 / 46.16 ± 0.62,64.60 ± 1.92 / 55.52 ± 1.42,19.79 ± 2.06 / 54.04 ± 2.62,65.18 ± 1.41 / 44.26 ± 2.16,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/ibm-granite/granite-34b-code-instruct'>ibm-granite/granite-34b-code-instruct</a>,📝,2.69,33715603456.0,49152.0,8192.0,✓,✗,(✓),✗,45.74 ± 3.14 / 60.09 ± 3.13,68.45 ± 1.50 / 56.60 ± 1.89,11.98 ± 2.14 / 53.16 ± 1.57,65.75 ± 1.07 / 46.59 ± 1.36,15.8.2.dev0,15.8.2.dev0,15.8.2.dev0,15.8.2.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (val)</a>,📝,2.70,7415529472.0,131072.0,8192.0,✓,✗,(✓),✓,56.72 ± 1.24 / 66.78 ± 1.14,66.34 ± 2.52 / 46.01 ± 1.98,0.00 ± 0.00 / 33.74 ± 0.46,72.52 ± 1.04 / 53.75 ± 0.91,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/setu4993/LaBSE'>setu4993/LaBSE</a>,🔍,2.70,470927360.0,501153.0,512.0,✓,✗,(✓),✗,48.44 ± 3.22 / 65.36 ± 2.15,89.91 ± 0.67 / 80.15 ± 0.68,9.37 ± 9.19 / 54.19 ± 4.53,43.16 ± 1.72 / 31.21 ± 1.43,15.3.1,15.3.1,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/ibm-granite/granite-34b-code-base'>ibm-granite/granite-34b-code-base</a>,🧠,2.71,33715603456.0,49152.0,8192.0,✓,✗,(✓),✗,42.41 ± 2.05 / 52.09 ± 2.83,74.28 ± 1.66 / 62.38 ± 1.78,6.55 ± 2.20 / 44.83 ± 3.70,69.22 ± 1.74 / 50.78 ± 1.86,15.8.2.dev0,15.8.2.dev0,15.8.2.dev0,15.8.2.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-8b-001'>gemini/gemini-1.5-flash-8b-001 (zero-shot, val)</a>",📝,2.72,8000000000.0,256128.0,1048576.0,✓,✗,✗,✓,51.86 ± 2.14 / 60.62 ± 1.79,56.24 ± 1.75 / 38.29 ± 1.44,14.48 ± 4.70 / 53.12 ± 2.46,68.24 ± 0.88 / 43.97 ± 1.29,15.5.0.dev0,15.5.0.dev0,15.5.0.dev0,15.5.0.dev0
<a href='https://hf.co/meta-llama/Meta-Llama-3-8B'>meta-llama/Meta-Llama-3-8B</a>,🧠,2.72,8030261248.0,128256.0,8192.0,✓,✗,(✓),✓,43.83 ± 3.51 / 57.48 ± 3.97,55.94 ± 4.55 / 50.77 ± 2.82,18.87 ± 3.19 / 57.38 ± 1.95,70.00 ± 2.33 / 53.44 ± 2.88,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/google/gemma-3n-E4B'>google/gemma-3n-E4B</a>,🧠,2.73,7849978192.0,262400.0,?,✓,✗,(✓),✓,46.17 ± 3.57 / 63.01 ± 2.75,61.49 ± 2.35 / 50.59 ± 2.06,10.66 ± 3.96 / 49.83 ± 4.55,70.83 ± 3.58 / 54.90 ± 3.46,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/NorwAI/NorwAI-Mixtral-8x7B'>NorwAI/NorwAI-Mixtral-8x7B</a>,🧠,2.73,46997647360.0,67993.0,32768.0,✓,✗,(✓),✗,43.62 ± 2.03 / 46.78 ± 1.13,67.03 ± 1.78 / 53.13 ± 2.04,9.63 ± 3.80 / 47.82 ± 5.07,69.70 ± 2.91 / 51.71 ± 3.27,15.7.1.dev0,15.7.1.dev0,15.7.1.dev0,15.7.1.dev0
<a href='https://hf.co/occiglot/occiglot-7b-eu5'>occiglot/occiglot-7b-eu5</a>,🧠,2.73,7241732096.0,32000.0,4096.0,✓,✗,(✓),✗,52.47 ± 2.70 / 63.94 ± 2.88,55.96 ± 3.99 / 49.77 ± 3.27,10.34 ± 2.37 / 54.63 ± 1.27,70.14 ± 1.02 / 53.33 ± 2.60,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v3-Base-20250730'>speakleash/Bielik-11B-v3-Base-20250730</a>,🧠,2.73,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,22.08 ± 4.13 / 29.59 ± 3.76,73.58 ± 1.47 / 59.12 ± 1.77,18.48 ± 6.24 / 46.50 ± 5.68,73.73 ± 2.37 / 56.78 ± 2.70,16.10.0,16.10.0,16.10.0,16.10.0
<a href='https://hf.co/ibm-granite/granite-3.0-8b-base'>ibm-granite/granite-3.0-8b-base</a>,🧠,2.73,8170835968.0,49152.0,4096.0,✓,✗,(✓),✗,41.16 ± 1.85 / 45.35 ± 1.14,56.40 ± 2.06 / 46.10 ± 2.30,19.82 ± 2.93 / 57.95 ± 2.82,72.62 ± 1.47 / 55.23 ± 2.60,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/mistralai/Voxtral-Mini-3B-2507'>mistralai/Voxtral-Mini-3B-2507</a>,📝,2.73,4676271104.0,131072.0,?,✓,✗,(✓),✓,46.13 ± 2.29 / 62.94 ± 1.70,62.25 ± 1.68 / 52.43 ± 1.34,11.40 ± 2.24 / 53.38 ± 1.95,68.58 ± 1.83 / 53.04 ± 1.83,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct</a>,📝,2.74,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,61.54 ± 2.06 / 72.60 ± 1.74,76.71 ± 1.14 / 58.51 ± 1.61,25.07 ± 8.05 / 48.85 ± 6.46,20.24 ± 0.69 / 0.00 ± 0.00,16.10.0,16.10.0,16.10.0,16.10.0
<a href='https://hf.co/intfloat/multilingual-e5-base'>intfloat/multilingual-e5-base</a>,🔍,2.74,278044162.0,250002.0,512.0,✓,✗,(✓),✗,50.84 ± 1.89 / 66.85 ± 1.26,86.38 ± 1.11 / 76.43 ± 1.03,6.23 ± 3.76 / 51.09 ± 3.09,43.92 ± 0.94 / 30.71 ± 1.11,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/kurakurai/Luth-1.7B-Instruct'>kurakurai/Luth-1.7B-Instruct</a>,📝,2.75,1720574976.0,151936.0,40960.0,✗,✗,(✓),✗,51.81 ± 2.34 / 62.27 ± 2.28,48.59 ± 2.60 / 32.95 ± 1.85,20.99 ± 2.55 / 59.03 ± 2.03,64.40 ± 0.60 / 44.88 ± 1.00,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0
<a href='https://hf.co/ibm-granite/granite-20b-code-base'>ibm-granite/granite-20b-code-base</a>,🧠,2.75,20066993152.0,49152.0,8192.0,✓,✗,(✓),✗,39.81 ± 3.08 / 57.44 ± 2.72,74.37 ± 2.09 / 61.07 ± 2.18,10.23 ± 2.29 / 50.43 ± 2.19,65.18 ± 0.88 / 48.76 ± 1.08,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0
<a href='https://hf.co/meta-llama/Llama-2-70b-chat-hf'>meta-llama/Llama-2-70b-chat-hf</a>,📝,2.76,68976653312.0,32000.0,4096.0,✓,✗,(✓),✓,50.12 ± 1.33 / 57.22 ± 1.59,56.85 ± 2.33 / 37.78 ± 1.78,15.12 ± 1.53 / 44.65 ± 2.06,64.41 ± 0.71 / 39.72 ± 1.87,15.3.1,15.3.1,15.3.1,15.3.1
<a href='https://hf.co/NorwAI/NorwAI-Mixtral-8x7B-instruct'>NorwAI/NorwAI-Mixtral-8x7B-instruct</a>,🧠,2.76,46997647360.0,67993.0,32768.0,✓,✗,(✓),✗,45.51 ± 1.18 / 48.23 ± 0.79,61.86 ± 3.00 / 51.44 ± 1.97,12.72 ± 3.78 / 49.95 ± 4.52,68.44 ± 1.28 / 44.84 ± 3.57,15.7.1.dev0,15.7.1.dev0,15.7.1.dev0,15.7.1.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (val)</a>,📝,2.76,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,53.47 ± 0.89 / 67.96 ± 0.74,62.08 ± 3.12 / 52.19 ± 2.24,0.00 ± 0.00 / 32.87 ± 0.49,74.34 ± 0.59 / 53.48 ± 0.99,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Mistral-7B-Instruct-v0.1'>mistralai/Mistral-7B-Instruct-v0.1</a>,📝,2.78,7241732096.0,32000.0,4096.0,✓,✗,(✓),✓,50.71 ± 1.58 / 66.15 ± 1.26,54.09 ± 2.34 / 39.54 ± 1.66,15.42 ± 1.33 / 55.77 ± 1.49,64.44 ± 1.44 / 47.09 ± 1.08,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct</a>,📝,2.79,9152319488.0,128000.0,4096.0,✗,✗,(✓),✓,54.19 ± 2.08 / 68.45 ± 1.68,37.00 ± 1.27 / 24.76 ± 1.17,19.62 ± 2.43 / 58.70 ± 1.21,71.02 ± 2.01 / 55.25 ± 2.52,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0
<a href='https://hf.co/allenai/OLMo-2-1124-13B'>allenai/OLMo-2-1124-13B</a>,🧠,2.79,13716198400.0,100352.0,4096.0,✓,✗,(✓),✓,47.42 ± 2.33 / 55.90 ± 3.52,46.46 ± 5.60 / 42.06 ± 4.70,17.42 ± 3.41 / 52.43 ± 5.30,72.94 ± 0.41 / 54.31 ± 1.47,15.13.0,15.13.0,15.13.0,15.13.0
<a href='https://hf.co/tiiuae/Falcon3-7B-Base'>tiiuae/Falcon3-7B-Base</a>,🧠,2.80,7455550464.0,131072.0,32768.0,✓,✗,(✓),✓,50.74 ± 2.73 / 61.51 ± 4.00,59.12 ± 3.52 / 44.73 ± 1.73,6.50 ± 2.72 / 37.93 ± 2.25,67.33 ± 0.94 / 50.72 ± 1.79,15.7.2.dev0,15.7.2.dev0,15.7.2.dev0,15.7.2.dev0
<a href='https://hf.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt</a>,🧠,2.81,4300079472.0,262144.0,8192.0,✓,✗,(✓),✓,42.48 ± 1.78 / 46.94 ± 1.38,44.62 ± 3.13 / 40.75 ± 1.75,27.64 ± 3.58 / 61.87 ± 2.89,67.49 ± 2.39 / 49.51 ± 2.18,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B</a>,📝,2.81,2031739904.0,151936.0,40960.0,✓,✗,✗,✓,52.01 ± 2.04 / 64.31 ± 1.56,49.22 ± 2.05 / 32.46 ± 1.56,17.86 ± 1.32 / 51.88 ± 2.19,61.28 ± 1.53 / 45.34 ± 1.75,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct'>allenai/Olmo-3-7B-Instruct</a>,📝,2.81,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,50.25 ± 1.49 / 65.86 ± 1.16,44.85 ± 2.01 / 37.93 ± 1.86,29.13 ± 1.43 / 61.84 ± 0.76,53.48 ± 4.36 / 35.11 ± 4.22,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/CohereLabs/tiny-aya-water'>CohereLabs/tiny-aya-water (val)</a>,📝,2.82,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,46.46 ± 2.04 / 53.95 ± 2.91,55.33 ± 5.11 / 39.54 ± 3.42,6.96 ± 5.97 / 38.66 ± 2.36,74.89 ± 0.95 / 54.11 ± 1.45,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/google/gemma-4-26B-A4B'>google/gemma-4-26B-A4B (val)</a>,🧠,2.83,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,39.92 ± 3.01 / 58.75 ± 2.30,51.38 ± 1.94 / 42.83 ± 1.57,21.97 ± 3.21 / 59.22 ± 2.08,67.20 ± 2.94 / 45.26 ± 2.23,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/CohereLabs/tiny-aya-global'>CohereLabs/tiny-aya-global (val)</a>,📝,2.84,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,45.92 ± 2.66 / 52.75 ± 3.04,54.47 ± 4.80 / 39.14 ± 3.39,8.01 ± 5.78 / 38.65 ± 2.22,74.62 ± 1.16 / 54.11 ± 1.07,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/baidu/ERNIE-4.5-21B-A3B-PT'>baidu/ERNIE-4.5-21B-A3B-PT</a>,📝,2.85,21948655808.0,103424.0,131072.0,✓,✗,(✓),✗,41.18 ± 5.51 / 56.94 ± 5.54,53.53 ± 1.88 / 38.52 ± 1.88,20.05 ± 2.19 / 56.26 ± 3.53,65.07 ± 1.83 / 47.07 ± 2.71,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/google/gemma-7b'>google/gemma-7b</a>,🧠,2.86,8537680896.0,256000.0,8192.0,✓,✗,(✓),✓,48.31 ± 2.11 / 56.94 ± 3.76,45.64 ± 4.08 / 38.60 ± 3.51,15.12 ± 2.88 / 55.42 ± 1.59,69.93 ± 3.55 / 54.00 ± 3.36,15.6.1,15.6.1,15.6.1,15.6.1
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,2.86,?,?,1047576.0,✓,✗,✗,✓,46.19 ± 2.28 / 48.39 ± 1.13,41.99 ± 2.06 / 25.46 ± 1.11,25.24 ± 2.57 / 46.09 ± 1.67,63.94 ± 0.92 / 40.58 ± 0.89,15.6.1.dev0,15.6.1.dev0,15.6.1.dev0,15.6.1.dev0
<a href='https://hf.co/LiquidAI/LFM2-2.6B'>LiquidAI/LFM2-2.6B</a>,📝,2.86,2569272320.0,65536.0,128000.0,✗,✗,(✓),✓,51.50 ± 1.63 / 67.51 ± 1.16,49.61 ± 1.25 / 39.14 ± 1.20,12.41 ± 2.38 / 52.92 ± 1.68,65.87 ± 0.75 / 48.08 ± 0.76,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/meta-llama/Llama-4-Scout-17B-16E'>meta-llama/Llama-4-Scout-17B-16E</a>,📝,2.88,108641793536.0,200000.0,?,✓,✗,(✓),✓,56.63 ± 1.69 / 67.20 ± 2.98,78.84 ± 1.24 / 66.89 ± 1.83,11.92 ± 3.15 / 53.07 ± 2.47,23.01 ± 7.21 / 0.04 ± 0.05,15.9.2,15.9.2,15.9.2,15.9.2
<a href='https://hf.co/EuroBERT/EuroBERT-610m'>EuroBERT/EuroBERT-610m</a>,🔍,2.88,755625600.0,128256.0,8192.0,✓,✗,(✓),✓,34.89 ± 3.05 / 54.78 ± 2.84,65.78 ± 4.45 / 58.86 ± 3.97,31.81 ± 8.25 / 64.24 ± 5.41,40.62 ± 3.23 / 25.25 ± 2.79,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/BSC-LT/ALIA-40b'>BSC-LT/ALIA-40b</a>,🧠,2.89,40433885184.0,256000.0,32768.0,✓,✗,(✓),✓,33.89 ± 2.79 / 49.64 ± 3.15,59.28 ± 4.23 / 52.25 ± 3.24,13.26 ± 3.79 / 40.75 ± 2.59,69.04 ± 0.69 / 50.19 ± 1.81,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/tencent/Hunyuan-4B-Instruct'>tencent/Hunyuan-4B-Instruct (val)</a>,🤔,2.89,4221757440.0,120818.0,262144.0,✓,✗,(✓),✓,43.97 ± 1.82 / 61.60 ± 1.29,56.20 ± 1.06 / 41.35 ± 1.01,27.18 ± 1.69 / 63.19 ± 0.96,43.67 ± 0.60 / 0.00 ± 0.00,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/allenai/OLMo-2-1124-7B'>allenai/OLMo-2-1124-7B</a>,🧠,2.89,7298617344.0,100352.0,4096.0,✓,✗,(✓),✓,50.26 ± 3.64 / 61.20 ± 4.24,40.69 ± 1.96 / 34.49 ± 1.49,15.38 ± 2.57 / 55.01 ± 2.20,69.27 ± 0.74 / 48.97 ± 2.05,15.13.0,15.13.0,15.13.0,15.13.0
<a href='https://hf.co/meta-llama/Llama-2-13b-chat-hf'>meta-llama/Llama-2-13b-chat-hf</a>,📝,2.89,13015866880.0,32000.0,4096.0,✓,✗,(✓),✓,47.66 ± 1.61 / 55.79 ± 1.73,51.79 ± 2.50 / 36.14 ± 1.53,11.42 ± 1.34 / 41.66 ± 1.58,62.40 ± 1.43 / 44.69 ± 2.07,15.3.1,15.3.1,15.3.1,15.3.1
<a href='https://hf.co/speakleash/Bielik-4.5B-v3.0-Instruct'>speakleash/Bielik-4.5B-v3.0-Instruct</a>,📝,2.90,4757260288.0,32000.0,32768.0,✓,✗,(✓),✓,53.57 ± 1.87 / 68.89 ± 1.34,59.92 ± 1.07 / 37.61 ± 1.51,0.00 ± 0.00 / 33.36 ± 0.27,65.64 ± 1.53 / 45.81 ± 1.70,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/tiiuae/falcon-11B'>tiiuae/falcon-11B</a>,📝,2.90,11102822400.0,65024.0,8192.0,✓,✗,(✓),✓,59.88 ± 1.56 / 72.13 ± 1.69,56.97 ± 3.23 / 47.26 ± 2.36,16.44 ± 2.59 / 50.77 ± 3.70,36.27 ± 9.89 / 21.63 ± 9.05,15.3.1,15.3.1,15.3.1,15.3.1
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-DPO'>allenai/Olmo-3-7B-Instruct-DPO</a>,📝,2.92,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,50.06 ± 1.62 / 65.31 ± 1.28,44.54 ± 2.10 / 36.43 ± 1.87,28.09 ± 1.14 / 60.98 ± 0.73,42.52 ± 7.40 / 23.76 ± 6.88,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/tencent/Hunyuan-7B-Instruct'>tencent/Hunyuan-7B-Instruct</a>,🤔,2.92,7504568320.0,128167.0,32768.0,✓,✗,(✓),✓,47.00 ± 1.36 / 64.29 ± 0.93,54.78 ± 1.65 / 37.17 ± 1.55,25.77 ± 1.29 / 62.04 ± 0.76,40.92 ± 0.30 / 0.00 ± 0.00,16.13.0.dev0,16.13.0.dev0,16.13.0.dev0,16.13.0.dev0
<a href='https://hf.co/nickprock/multi-sentence-BERTino'>nickprock/multi-sentence-BERTino</a>,🔍,2.93,67576320.0,32102.0,512.0,✓,✗,(✓),✗,57.37 ± 2.17 / 71.26 ± 1.47,81.62 ± 0.79 / 70.56 ± 0.81,7.13 ± 5.11 / 52.24 ± 3.33,23.95 ± 1.29 / 15.77 ± 0.94,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0
<a href='https://hf.co/CohereForAI/aya-23-8B'>CohereForAI/aya-23-8B</a>,📝,2.94,8028033024.0,256000.0,8192.0,✗,✗,(✓),✗,46.80 ± 2.06 / 55.85 ± 2.79,52.86 ± 3.54 / 46.15 ± 3.02,8.87 ± 1.90 / 48.13 ± 2.65,64.78 ± 0.69 / 47.57 ± 1.33,15.10.0,15.10.0,15.10.0,15.10.0
<a href='https://hf.co/allenai/OLMo-2-1124-7B-Instruct'>allenai/OLMo-2-1124-7B-Instruct</a>,📝,2.94,7298617344.0,100352.0,4096.0,✓,✗,(✓),✓,50.24 ± 2.11 / 63.06 ± 2.07,38.18 ± 1.37 / 28.04 ± 1.43,16.79 ± 1.43 / 57.69 ± 0.62,66.03 ± 0.60 / 46.77 ± 0.76,15.13.0,15.13.0,15.13.0,15.13.0
<a href='https://hf.co/mistralai/Mistral-7B-Instruct-v0.2'>mistralai/Mistral-7B-Instruct-v0.2</a>,📝,2.95,7241732096.0,32000.0,32768.0,✗,✗,(✓),✓,51.36 ± 1.13 / 67.53 ± 0.77,50.18 ± 2.09 / 36.69 ± 2.59,17.97 ± 1.57 / 57.84 ± 1.23,51.20 ± 1.52 / 26.58 ± 2.36,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/OpenLLM-Ro/RoMistral-7b-Instruct-DPO'>OpenLLM-Ro/RoMistral-7b-Instruct-DPO</a>,📝,2.95,7248023552.0,32768.0,32768.0,✗,✗,(✓),✗,49.58 ± 1.24 / 65.74 ± 1.15,55.56 ± 2.57 / 42.10 ± 2.68,14.46 ± 3.17 / 52.20 ± 4.42,50.72 ± 1.26 / 34.85 ± 1.60,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8 (val)</a>,🤔,2.97,2680100864.0,131072.0,262144.0,✓,✗,✗,✓,45.36 ± 1.42 / 63.08 ± 0.93,58.12 ± 2.29 / 50.03 ± 1.78,35.00 ± 3.85 / 66.31 ± 1.75,20.87 ± 0.92 / 13.93 ± 0.51,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/meta-llama/Llama-2-13b-hf'>meta-llama/Llama-2-13b-hf</a>,🧠,2.97,13015866880.0,32000.0,4096.0,✓,✗,(✓),✓,45.85 ± 2.72 / 61.30 ± 2.65,43.55 ± 5.64 / 40.35 ± 5.04,8.54 ± 2.95 / 49.70 ± 3.79,71.05 ± 1.61 / 53.56 ± 2.86,15.3.1,15.3.1,15.3.1,15.3.1
